,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
10,honest-burgers-london-32,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.5308718, 'longitude': -0.1178225}",+44 20 3302 3452,2365.628009338395,aTjIuf-lCWF6vGYDlQTPSg,https://s3-media1.fl.yelpcdn.com/bphoto/lZ44UZ0jYcCztvilVCde_Q/o.jpg,False,"{'address1': '251 Pentonville Road', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'N1 9NG', 'country': 'GB', 'state': 'XGL', 'display_address': ['251 Pentonville Road', 'London N1 9NG', 'United Kingdom']}",Honest Burgers,+442033023452,££,4.5,102,[],https://www.yelp.com/biz/honest-burgers-london-32?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
11,honest-burgers-london-27,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.494386, 'longitude': -0.173491}",+44 20 3019 6440,3310.3158151122266,ErQc9MSdo_TwFNseZnOcQg,https://s3-media4.fl.yelpcdn.com/bphoto/KrdJnZfXpUKd_i3YGUH7SA/o.jpg,False,"{'address1': '24 Thurloe Street', 'address2': '', 'address3': None, 'city': 'London', 'zip_code': 'SW7 2LT', 'country': 'GB', 'state': 'XGL', 'display_address': ['24 Thurloe Street', 'London SW7 2LT', 'United Kingdom']}",Honest Burgers,+442030196440,££,4.5,38,[],https://www.yelp.com/biz/honest-burgers-london-27?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
12,burger-bear-london,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.525654, 'longitude': -0.087494}",+44 7805 903779,3643.4996947721743,C7APCRo72tlSjUd8XHRhhw,https://s3-media2.fl.yelpcdn.com/bphoto/JO5r4zB60wHh2ExWTIFwaQ/o.jpg,False,"{'address1': 'The Magic Roundabout', 'address2': 'Old Street', 'address3': '', 'city': 'London', 'zip_code': 'EC1Y 1BE', 'country': 'GB', 'state': 'XGL', 'display_address': ['The Magic Roundabout', 'Old Street', 'London EC1Y 1BE', 'United Kingdom']}",Burger Bear,+447805903779,££,4.5,16,[],https://www.yelp.com/biz/burger-bear-london?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
13,honest-burgers-london-33,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.5234800583556, 'longitude': -0.137093391602729}",+44 20 3019 6188,1186.2315809514091,Ekqg40aAVsO0Ci98rTBWBg,https://s3-media1.fl.yelpcdn.com/bphoto/Pfwa74dlRhv2Cnrzqw6rHA/o.jpg,False,"{'address1': '117 Tottenham Court Road', 'address2': '', 'address3': None, 'city': 'London', 'zip_code': 'W1T 5AL', 'country': 'GB', 'state': 'XGL', 'display_address': ['117 Tottenham Court Road', 'London W1T 5AL', 'United Kingdom']}",Honest Burgers,+442030196188,£,4.0,18,[],https://www.yelp.com/biz/honest-burgers-london-33?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
14,burger-and-lobster-london-7,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.501441, 'longitude': -0.159432}",+44 20 7201 8676,2060.3924138301472,ITcGz_zdMW3EyqNBJx6Fxw,https://s3-media4.fl.yelpcdn.com/bphoto/0WdJ5kteNqVnjbmhlmv2nw/o.jpg,False,"{'address1': 'Fifth Floor Harvey Nichols', 'address2': '109 - 125 Knightsbridge', 'address3': '', 'city': 'London', 'zip_code': 'SW1X 7RJ', 'country': 'GB', 'state': 'XGL', 'display_address': ['Fifth Floor Harvey Nichols', '109 - 125 Knightsbridge', 'London SW1X 7RJ', 'United Kingdom']}",Burger & Lobster,+442072018676,££,4.5,76,[],https://www.yelp.com/biz/burger-and-lobster-london-7?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
15,the-fat-bear-london,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]","{'latitude': 51.5131833881734, 'longitude': -0.10138103121642}",+44 20 7236 2498,2392.909207748214,Z0r83lDOA1mI8RpNccXtHw,https://s3-media4.fl.yelpcdn.com/bphoto/8Ohb6vigsW0QpiRKN3fSuw/o.jpg,False,"{'address1': '61 Carter Lane', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'EC4V 5DY', 'country': 'GB', 'state': 'XGL', 'display_address': ['61 Carter Lane', 'London EC4V 5DY', 'United Kingdom']}",The Fat Bear,+442072362498,££,4.5,109,[],https://www.yelp.com/biz/the-fat-bear-london?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
16,tommis-burger-joint-london-2,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'latitude': 51.5176716, 'longitude': -0.1512931}",+44 20 7224 3828,1189.7582700810478,yZq1yMtECVxMr1gmT3j6PQ,https://s3-media1.fl.yelpcdn.com/bphoto/VhViq4jK1h_c6FbphPZHZg/o.jpg,False,"{'address1': '30 Thayer Street', 'address2': 'Marylebone', 'address3': '', 'city': 'London', 'zip_code': 'W1U 2QP', 'country': 'GB', 'state': 'XGL', 'display_address': ['30 Thayer Street', 'Marylebone', 'London W1U 2QP', 'United Kingdom']}",Tommi's Burger Joint,+442072243828,££,4.0,90,[],https://www.yelp.com/biz/tommis-burger-joint-london-2?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
17,haché-london-4,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.539632450556, 'longitude': -0.14404785143979}",+44 20 7485 9100,3031.8109861241765,PbtCsnFZBfAulMbBEULzSQ,https://s3-media1.fl.yelpcdn.com/bphoto/_0xr3XvAK6MfJDrfjXI1CA/o.jpg,False,"{'address1': '24 Inverness Street', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'NW1 7HJ', 'country': 'GB', 'state': 'XGL', 'display_address': ['24 Inverness Street', 'London NW1 7HJ', 'United Kingdom']}",Haché,+442074859100,££,4.0,71,[],https://www.yelp.com/biz/hach%C3%A9-london-4?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
18,shake-shack-covent-garden-london-4,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'latitude': 51.511818, 'longitude': -0.122506}",+44 1923 555129,937.601022291232,vmBxOLRJEme7m-wR5CdgcQ,https://s3-media1.fl.yelpcdn.com/bphoto/-b9pmraTBa4b90ozXDea2A/o.jpg,False,"{'address1': '24 Market Building', 'address2': 'The Piazza', 'address3': 'Covent Garden', 'city': 'London', 'zip_code': 'WC2E 8RD', 'country': 'GB', 'state': 'XGL', 'display_address': ['24 Market Building', 'The Piazza', 'Covent Garden', 'London WC2E 8RD', 'United Kingdom']}",Shake Shack Covent Garden,+441923555129,££,3.5,235,[],https://www.yelp.com/biz/shake-shack-covent-garden-london-4?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
19,honest-burgers-london-31,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.5108652525665, 'longitude': -0.122079066932201}",+44 20 3019 0959,984.9777329722629,opFrK6Xp4K6HCrmyswDJ2g,https://s3-media2.fl.yelpcdn.com/bphoto/IvIm-ZinStJ-hdf5yXkMRQ/o.jpg,False,"{'address1': '33 Southampton Street', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'WC2E 7HE', 'country': 'GB', 'state': 'XGL', 'display_address': ['33 Southampton Street', 'London WC2E 7HE', 'United Kingdom']}",Honest Burgers,+442030190959,££,4.5,29,[],https://www.yelp.com/biz/honest-burgers-london-31?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
20,patty-and-bun-london-5,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.5136174142768, 'longitude': -0.130316223298159}",+44 20 7287 1818,399.8283979651694,58cOtYFyLqYZPqVwdQI0jg,https://s3-media3.fl.yelpcdn.com/bphoto/0M9CxSYfAkpVj-DZVN4Qow/o.jpg,False,"{'address1': '18 Old Compton street', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'W1D 4TN', 'country': 'GB', 'state': 'XGL', 'display_address': ['18 Old Compton street', 'London W1D 4TN', 'United Kingdom']}",Patty & Bun,+442072871818,££,4.0,16,[],https://www.yelp.com/biz/patty-and-bun-london-5?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
21,bobo-social-london,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.5205519, 'longitude': -0.1372157}",+44 20 7636 9310,862.4386600727706,SlfyA7DtARnH_mX2_DXRyQ,https://s3-media2.fl.yelpcdn.com/bphoto/ZlbnAYVB7h_rwgj6hoJ32g/o.jpg,False,"{'address1': '95 Charlotte Street', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'W1T 4PZ', 'country': 'GB', 'state': 'XGL', 'display_address': ['95 Charlotte Street', 'London W1T 4PZ', 'United Kingdom']}",BOBO Social,+442076369310,££,4.0,21,[],https://www.yelp.com/biz/bobo-social-london?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
22,meat-mission-london,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 51.5273008570266, 'longitude': -0.0824617613588274}",+44 20 7739 8212,4035.643035498852,REsQeOq673VB-zjbZFbnIQ,https://s3-media2.fl.yelpcdn.com/bphoto/XuFyoc_ZlULXl6ioAsGflA/o.jpg,False,"{'address1': '14-15 Hoxton Market', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'N1 6HG', 'country': 'GB', 'state': 'XGL', 'display_address': ['14-15 Hoxton Market', 'London N1 6HG', 'United Kingdom']}",Meat Mission,+442077398212,££,4.0,106,[],https://www.yelp.com/biz/meat-mission-london?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
23,duck-and-waffle-local-london,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'waffles', 'title': 'Waffles'}]","{'latitude': 51.5094175706263, 'longitude': -0.132749820495633}",+44 20 3900 4444,440.07809948825326,a4FkZ2b7Wn3-AP7q3ptHtQ,https://s3-media4.fl.yelpcdn.com/bphoto/zd2VBLt5bwlnlLFVP1VIWw/o.jpg,False,"{'address1': '52 Haymarket', 'address2': ""St James's Market"", 'address3': '', 'city': 'London', 'zip_code': 'SW1Y 4RP', 'country': 'GB', 'state': 'XGL', 'display_address': ['52 Haymarket', ""St James's Market"", 'London SW1Y 4RP', 'United Kingdom']}",Duck & Waffle Local,+442039004444,££,4.5,103,[],https://www.yelp.com/biz/duck-and-waffle-local-london?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
24,homeburger-london,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.5498364, 'longitude': -0.1089758}",+44 20 7700 6008,4517.800255790563,tkHBXPIOgF6lX7RCAOXenw,https://s3-media4.fl.yelpcdn.com/bphoto/J5tyZ4iOYHdXe31xfHjyRA/o.jpg,False,"{'address1': '169 Holloway Rd', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'N7 8LX', 'country': 'GB', 'state': 'XGL', 'display_address': ['169 Holloway Rd', 'London N7 8LX', 'United Kingdom']}",Homeburger,+442077006008,££,4.5,15,[],https://www.yelp.com/biz/homeburger-london?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
25,lucky-chip-london-3,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.5366151306541, 'longitude': -0.101067925022849}",,3580.125756582984,rhpgVtI3CBSjYRhKRWlM_A,https://s3-media2.fl.yelpcdn.com/bphoto/JMJ6WxTwrnVFxvveF-5oow/o.jpg,False,"{'address1': '44 Essex Rd', 'address2': 'Islington', 'address3': '', 'city': 'London', 'zip_code': 'N1 8LN', 'country': 'GB', 'state': 'XGL', 'display_address': ['44 Essex Rd', 'Islington', 'London N1 8LN', 'United Kingdom']}",Lucky Chip,,,5.0,1,[],https://www.yelp.com/biz/lucky-chip-london-3?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
26,byron-london-31,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.511946, 'longitude': -0.138287}",+44 20 7437 6138,179.7433476430499,5HKdGfLUIsGon9MDlQyW8Q,https://s3-media4.fl.yelpcdn.com/bphoto/5YIc1CiGPKlAVocAEAnsjg/o.jpg,False,"{'address1': '16-18 Beak Street', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'W1F 9RD', 'country': 'GB', 'state': 'XGL', 'display_address': ['16-18 Beak Street', 'London W1F 9RD', 'United Kingdom']}",Byron,+442074376138,££,4.0,22,[],https://www.yelp.com/biz/byron-london-31?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
27,bodeans-london,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.514481362499, 'longitude': -0.13676105637839}",+44 20 7287 7575,191.30425196477682,Fa9718rkbQuMh3DYgvsSYw,https://s3-media3.fl.yelpcdn.com/bphoto/awG2RJXZPrElj_1OEIhwyg/o.jpg,False,"{'address1': ""D'Arblay House"", 'address2': '10a Poland Street', 'address3': '', 'city': 'London', 'zip_code': 'W1F 8PZ', 'country': 'GB', 'state': 'XGL', 'display_address': [""D'Arblay House"", '10a Poland Street', 'London W1F 8PZ', 'United Kingdom']}",Bodean's,+442072877575,££,4.0,255,[],https://www.yelp.com/biz/bodeans-london?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
28,goodman-london-2,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'british', 'title': 'British'}]","{'latitude': 51.5131345, 'longitude': -0.1422486}",+44 20 7499 3776,436.23218569860506,ep7Q8nZSqQJztyq_JgUGhg,https://s3-media3.fl.yelpcdn.com/bphoto/HAgk3RO_4RvMjTjdovdlTA/o.jpg,False,"{'address1': '26 Maddox Street', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'W1S 1QH', 'country': 'GB', 'state': 'XGL', 'display_address': ['26 Maddox Street', 'London W1S 1QH', 'United Kingdom']}",Goodman,+442074993776,£££,4.5,104,[],https://www.yelp.com/biz/goodman-london-2?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
29,hawksmoor-seven-dials-london-4,"[{'alias': 'british', 'title': 'British'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 51.5134998914001, 'longitude': -0.12567396291297}",+44 20 7420 9390,715.3327247350239,0B-ag3J18TatG9H9EQohGg,https://s3-media2.fl.yelpcdn.com/bphoto/yYxu0Q9uw-StO5TXszf8IQ/o.jpg,False,"{'address1': '11 Langley Street', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'WC2H 9JG', 'country': 'GB', 'state': 'XGL', 'display_address': ['11 Langley Street', 'London WC2H 9JG', 'United Kingdom']}",Hawksmoor Seven Dials,+442074209390,£££,4.5,321,[],https://www.yelp.com/biz/hawksmoor-seven-dials-london-4?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
30,byron-london-2,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.4947669, 'longitude': -0.1824925}",+44 20 7244 0700,3796.2606148605087,nfRetoLiNTFKZlneFKCN6A,https://s3-media1.fl.yelpcdn.com/bphoto/Pq9nMGSCnhppBQOm8eh5wA/o.jpg,False,"{'address1': '75 Gloucester Road', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'SW7 4SS', 'country': 'GB', 'state': 'XGL', 'display_address': ['75 Gloucester Road', 'London SW7 4SS', 'United Kingdom']}",Byron,+442072440700,££,4.0,103,[],https://www.yelp.com/biz/byron-london-2?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
